ID=0, Sequence=501, X=-1.3148438178342E7, Y=3986007.33707501
ID=66, Sequence=567, X=-1.31407943226394E7, Y=3982299.90617872
ID=67, Sequence=568, X=-1.31749765795035E7, Y=3978334.08231163
ID=68, Sequence=569, X=-1.31500754594879E7, Y=3989843.98111208
ID=69, Sequence=570, X=-1.31681642057945E7, Y=4012388.66022808
ID=70, Sequence=571, X=-1.31599248292046E7, Y=3995010.25808722
ID=71, Sequence=572, X=-1.31819655227477E7, Y=4008337.12524603
ID=72, Sequence=573, X=-1.31416643288953E7, Y=3984976.00894664
ID=73, Sequence=574, X=-1.31712959072804E7, Y=3992781.80879489
ID=74, Sequence=575, X=-1.31759172135735E7, Y=3991805.46513846
ID=75, Sequence=576, X=-1.31705527100545E7, Y=3981389.06457145
ID=76, Sequence=577, X=-1.31705671566528E7, Y=3989141.96390585
ID=77, Sequence=578, X=-1.31480962755145E7, Y=3991826.15498829
ID=78, Sequence=579, X=-1.31629088543518E7, Y=3999936.91466595
ID=79, Sequence=580, X=-1.31533034716295E7, Y=4010987.03690027
ID=80, Sequence=581, X=-1.31681786523929E7, Y=3978508.4459753
ID=81, Sequence=582, X=-1.31731193890272E7, Y=4000059.84988142
ID=82, Sequence=583, X=-1.31514815950602E7, Y=3995653.13700164
ID=83, Sequence=584, X=-1.31486853756915E7, Y=3991659.34415465
ID=84, Sequence=585, X=-1.31550226168326E7, Y=3985023.82533637
ID=85, Sequence=586, X=-1.31453080820338E7, Y=4009333.03538006
ID=86, Sequence=587, X=-1.31511669802518E7, Y=4008294.38985433
ID=87, Sequence=588, X=-1.31408906332951E7, Y=4001148.20859326
ID=88, Sequence=589, X=-1.31652395722184E7, Y=4011474.08766008
ID=89, Sequence=590, X=-1.31777583522739E7, Y=4009671.06914969
ID=90, Sequence=591, X=-1.31419051055345E7, Y=4013835.80605544
ID=91, Sequence=592, X=-1.31562088430746E7, Y=3992044.693845
ID=92, Sequence=593, X=-1.3144808871802E7, Y=4011807.00418355
ID=93, Sequence=594, X=-1.31461748779345E7, Y=4006871.26458398
ID=94, Sequence=595, X=-1.31564319627601E7, Y=4008291.79983581
ID=95, Sequence=596, X=-1.31437911892074E7, Y=3995791.54832611
ID=96, Sequence=597, X=-1.31767519059224E7, Y=3997504.36746173
ID=97, Sequence=598, X=-1.31553548885945E7, Y=4010077.75926557
ID=98, Sequence=599, X=-1.31759236342839E7, Y=3996160.22229806
ID=99, Sequence=600, X=-1.31546229276116E7, Y=3990094.80448046
ID=100, Sequence=601, X=-1.31620709516478E7, Y=3993709.09024594
ID=101, Sequence=602, X=-1.31579151468569E7, Y=4002646.97698352
ID=102, Sequence=603, X=-1.31735014212946E7, Y=3980717.28518067
ID=103, Sequence=604, X=-1.31474076543266E7, Y=3981758.56025904
ID=104, Sequence=605, X=-1.31522745527917E7, Y=3993359.89581023
ID=105, Sequence=606, X=-1.31522809735021E7, Y=3991126.60049491
ID=106, Sequence=607, X=-1.31767470903896E7, Y=3995554.82718688
ID=107, Sequence=608, X=-1.31588140463095E7, Y=3998390.63366501
ID=108, Sequence=609, X=-1.3184660615928E7, Y=4005983.03564107
ID=109, Sequence=610, X=-1.31654016951553E7, Y=3979743.27598243
ID=110, Sequence=611, X=-1.31842384542207E7, Y=4012533.75507049
ID=111, Sequence=612, X=-1.31667002838289E7, Y=3985779.86813775
ID=112, Sequence=613, X=-1.31610564794084E7, Y=4003657.91707767
ID=113, Sequence=614, X=-1.31721627031812E7, Y=3998635.17778263
ID=114, Sequence=615, X=-1.31591511336043E7, Y=4010273.33841518
ID=115, Sequence=616, X=-1.31640308734901E7, Y=4013200.95637114
ID=116, Sequence=617, X=-1.31558974386213E7, Y=3995677.71458934
ID=117, Sequence=618, X=-1.31539792513965E7, Y=3977772.26212902
ID=118, Sequence=619, X=-1.31476997966488E7, Y=4006832.41928574
ID=119, Sequence=620, X=-1.3153297050919E7, Y=4005611.45046658
ID=120, Sequence=621, X=-1.31620966344892E7, Y=4007121.17254451
ID=121, Sequence=622, X=-1.31445070984143E7, Y=4009226.83529823
ID=122, Sequence=623, X=-1.31793041382968E7, Y=4005246.3508575
ID=123, Sequence=624, X=-1.31663760379549E7, Y=4009800.58669782
ID=124, Sequence=625, X=-1.31687934354114E7, Y=4009823.90001499
ID=125, Sequence=626, X=-1.31766925143515E7, Y=4000133.61165495
ID=126, Sequence=627, X=-1.31463514474698E7, Y=3988905.38231181
ID=127, Sequence=628, X=-1.31682380439639E7, Y=3982668.13958538
ID=128, Sequence=629, X=-1.31720455252168E7, Y=3989880.18207865
ID=129, Sequence=630, X=-1.31497447929035E7, Y=4003951.76689375
ID=130, Sequence=631, X=-1.31475232271134E7, Y=3998702.46069345
ID=131, Sequence=632, X=-1.31584609072389E7, Y=4005417.24707161
ID=132, Sequence=633, X=-1.31764437118244E7, Y=4003477.98639686
ID=133, Sequence=634, X=-1.31446820627721E7, Y=3999403.77957839
ID=134, Sequence=635, X=-1.31528572322583E7, Y=4007547.19425531
ID=135, Sequence=636, X=-1.31734115313493E7, Y=3982090.59990768
ID=136, Sequence=637, X=-1.31603967514172E7, Y=3985401.19421906
ID=137, Sequence=638, X=-1.31611238968673E7, Y=4003199.6820176
ID=138, Sequence=639, X=-1.31829334448369E7, Y=4000815.60743147
ID=139, Sequence=640, X=-1.31568814124864E7, Y=3991157.63341596
ID=140, Sequence=641, X=-1.31776572260854E7, Y=3980867.14019982
ID=141, Sequence=642, X=-1.31400880444981E7, Y=3995547.06592224
ID=142, Sequence=643, X=-1.3146362683713E7, Y=4000664.19303675
ID=143, Sequence=644, X=-1.31546887398931E7, Y=4006405.12986073
ID=144, Sequence=645, X=-1.31590821109677E7, Y=4009167.26008189
ID=145, Sequence=646, X=-1.31454862567467E7, Y=3994078.989482
ID=146, Sequence=647, X=-1.3159077295435E7, Y=3989054.0532262
ID=147, Sequence=648, X=-1.31654996109885E7, Y=4009764.3216339
ID=148, Sequence=649, X=-1.31778739250606E7, Y=3998582.12807864
ID=149, Sequence=650, X=-1.31614304857878E7, Y=3998596.36090153
ID=150, Sequence=651, X=-1.31792864813433E7, Y=3999643.16963863
ID=151, Sequence=652, X=-1.31453482114735E7, Y=3998708.93022529
ID=152, Sequence=653, X=-1.31671770215742E7, Y=3985480.02972196
ID=153, Sequence=654, X=-1.3167889720426E7, Y=3989103.17969805
ID=154, Sequence=655, X=-1.31617001556235E7, Y=4008505.47836962
ID=155, Sequence=656, X=-1.31766909091738E7, Y=4009510.46946277
ID=156, Sequence=657, X=-1.31794534198131E7, Y=3986859.09386147
ID=157, Sequence=658, X=-1.31728144052843E7, Y=3990408.9880103
ID=158, Sequence=659, X=-1.31596439231257E7, Y=4012494.8901968
ID=159, Sequence=660, X=-1.31533917563971E7, Y=3979765.23547722
ID=160, Sequence=661, X=-1.31681561799066E7, Y=4002306.56561037
ID=161, Sequence=662, X=-1.31599842207755E7, Y=3994950.7580699
ID=162, Sequence=663, X=-1.31414267626115E7, Y=4006147.46923574
ID=163, Sequence=664, X=-1.31510819058393E7, Y=3984491.39479924
ID=164, Sequence=665, X=-1.31575620077862E7, Y=3977342.19795406
ID=165, Sequence=666, X=-1.31507127149927E7, Y=3994328.61365772
ID=166, Sequence=667, X=-1.31761403332591E7, Y=4009933.99133278
ID=167, Sequence=668, X=-1.31517448441857E7, Y=4009266.98399169
ID=168, Sequence=669, X=-1.31789205008518E7, Y=3990836.96401564
ID=169, Sequence=670, X=-1.31768417958676E7, Y=3976872.1164827
ID=170, Sequence=671, X=-1.31641015013042E7, Y=4009374.47958662
ID=171, Sequence=672, X=-1.31421651443048E7, Y=3994323.44004358
ID=172, Sequence=673, X=-1.31654771385022E7, Y=3989289.34511129
ID=173, Sequence=674, X=-1.31556438205615E7, Y=3998292.29996099
ID=174, Sequence=675, X=-1.31576486873763E7, Y=4008755.42265699
ID=175, Sequence=676, X=-1.31590484022383E7, Y=4008501.59326912
ID=176, Sequence=677, X=-1.31633904076301E7, Y=4013277.39555532
ID=177, Sequence=678, X=-1.31661047629414E7, Y=3981640.9921388
ID=178, Sequence=679, X=-1.31555715875697E7, Y=3978775.80881545
ID=179, Sequence=680, X=-1.31678929307811E7, Y=3989344.93676773
ID=180, Sequence=681, X=-1.31829334448369E7, Y=4000815.60743147
ID=181, Sequence=682, X=-1.31464589943686E7, Y=3993979.40003218
ID=182, Sequence=683, X=-1.31539936979948E7, Y=3998068.46459894
ID=183, Sequence=684, X=-1.31383753200053E7, Y=3983434.36195027
ID=184, Sequence=685, X=-1.31662973842527E7, Y=3982038.91994379
ID=185, Sequence=686, X=-1.31499968057858E7, Y=4006203.14414723
ID=186, Sequence=687, X=-1.31436948785517E7, Y=3980560.97301068
ID=187, Sequence=688, X=-1.31641962067822E7, Y=4012396.43311856
ID=188, Sequence=689, X=-1.31621287380412E7, Y=4012470.27584633
ID=189, Sequence=690, X=-1.3144552043387E7, Y=3996175.74567729
ID=190, Sequence=691, X=-1.31676377075438E7, Y=3988163.34981564
ID=191, Sequence=692, X=-1.31782463262624E7, Y=4007854.09527718
ID=192, Sequence=693, X=-1.31775593102521E7, Y=4007841.14569769
ID=193, Sequence=694, X=-1.31400864393205E7, Y=4009212.58902212
ID=194, Sequence=695, X=-1.31541333484455E7, Y=3981155.22913735
ID=195, Sequence=696, X=-1.31376273072465E7, Y=4009700.8580536
ID=196, Sequence=697, X=-1.31468201593272E7, Y=3982226.26093754
ID=197, Sequence=698, X=-1.31656553132152E7, Y=3987192.57608792
ID=198, Sequence=699, X=-1.31661946528868E7, Y=4002560.25523808
ID=199, Sequence=700, X=-1.31394010284879E7, Y=3994963.69282955
ID=200, Sequence=701, X=-1.31398007177087E7, Y=4010595.85716241
ID=201, Sequence=702, X=-1.31452502956404E7, Y=3982169.41230771
ID=202, Sequence=703, X=-1.31737229358025E7, Y=3980508.0082203
ID=203, Sequence=704, X=-1.31569311729918E7, Y=3988129.73974261
ID=204, Sequence=705, X=-1.31556951862444E7, Y=3993459.47978765
ID=205, Sequence=706, X=-1.31701289431696E7, Y=4009891.24986957
ID=206, Sequence=707, X=-1.31784116595546E7, Y=4013870.78861186
ID=207, Sequence=708, X=-1.31752847736015E7, Y=4010752.58648198
ID=208, Sequence=709, X=-1.31447382439879E7, Y=3995297.41476073
ID=209, Sequence=710, X=-1.31437574804779E7, Y=3994102.27025948
ID=210, Sequence=711, X=-1.31800248630365E7, Y=3998831.85203627
ID=211, Sequence=712, X=-1.31633454626574E7, Y=4009963.78093356
ID=212, Sequence=713, X=-1.3172527078495E7, Y=3991059.36279223
ID=213, Sequence=714, X=-1.31434669433334E7, Y=3986458.4111925
ID=214, Sequence=715, X=-1.31696040500963E7, Y=4003455.98068371
ID=215, Sequence=716, X=-1.31536838987192E7, Y=3995403.48349047
ID=216, Sequence=717, X=-1.3141084859784E7, Y=4006827.23992278
ID=217, Sequence=718, X=-1.31772527213317E7, Y=4013714.01578316
ID=218, Sequence=719, X=-1.31427317719954E7, Y=3979738.10904868
ID=219, Sequence=720, X=-1.31424990212443E7, Y=4002991.28184961
ID=220, Sequence=721, X=-1.31768177182037E7, Y=3996411.18621748
ID=221, Sequence=722, X=-1.31400880444981E7, Y=3995547.06592224
ID=222, Sequence=723, X=-1.31394379475725E7, Y=3989851.73845228
ID=223, Sequence=724, X=-1.315527784007E7, Y=3984077.87383638
ID=224, Sequence=725, X=-1.3145235849042E7, Y=3997880.86035178
ID=225, Sequence=726, X=-1.31417365618871E7, Y=4012809.6995404
ID=226, Sequence=727, X=-1.31589103569652E7, Y=3975425.834478
ID=227, Sequence=728, X=-1.31740841007612E7, Y=3978277.25325409
ID=228, Sequence=729, X=-1.31770039188047E7, Y=3979607.64475415
ID=229, Sequence=730, X=-1.3161733864353E7, Y=3980838.71926764
ID=230, Sequence=731, X=-1.31417269308215E7, Y=3984814.46858686
ID=231, Sequence=732, X=-1.31567754707652E7, Y=3980374.95142722
ID=232, Sequence=733, X=-1.31637724398974E7, Y=3987319.2502132
ID=233, Sequence=734, X=-1.31466500105023E7, Y=4003329.12505876
ID=234, Sequence=735, X=-1.31458811304348E7, Y=3987139.58019197
ID=235, Sequence=736, X=-1.31448201080452E7, Y=4009970.25694418
ID=236, Sequence=737, X=-1.31493065794204E7, Y=3999958.91350065
ID=237, Sequence=738, X=-1.31565362993037E7, Y=3984437.11930967
ID=238, Sequence=739, X=-1.31779413425195E7, Y=4004060.50621594
ID=239, Sequence=740, X=-1.31740841007612E7, Y=3983590.71387627
ID=240, Sequence=741, X=-1.31486500617844E7, Y=4009643.87065421
ID=241, Sequence=742, X=-1.31484413886972E7, Y=3977286.66533394
ID=242, Sequence=743, X=-1.31384619995954E7, Y=4001000.67223493
ID=243, Sequence=744, X=-1.31636488412226E7, Y=3981931.68477282
ID=244, Sequence=745, X=-1.3182268901313E7, Y=4011823.84458111
ID=245, Sequence=746, X=-1.31571141632375E7, Y=4009184.09652406
ID=246, Sequence=747, X=-1.31595636642459E7, Y=3987984.95903383
ID=247, Sequence=748, X=-1.3180185380796E7, Y=4013597.40931329
ID=248, Sequence=749, X=-1.31710663668845E7, Y=3981608.69341886
ID=249, Sequence=750, X=-1.31544736460955E7, Y=4013041.6017785
ID=250, Sequence=751, X=-1.31794116851957E7, Y=4004588.68358758
ID=251, Sequence=752, X=-1.31541542157543E7, Y=3996988.16570401
ID=252, Sequence=753, X=-1.31618414112519E7, Y=3984955.33165163
ID=253, Sequence=754, X=-1.3144646748865E7, Y=4007135.41617069
ID=254, Sequence=755, X=-1.31425969370775E7, Y=3993424.56063049
ID=255, Sequence=756, X=-1.31797166689385E7, Y=4012605.00768818
ID=256, Sequence=757, X=-1.31700149755604E7, Y=3975460.69802996
ID=257, Sequence=758, X=-1.31786171222866E7, Y=4001718.95955606
ID=258, Sequence=759, X=-1.31670486073667E7, Y=4003323.94730853
ID=259, Sequence=760, X=-1.314673829527E7, Y=4010501.30251442
ID=260, Sequence=761, X=-1.31757358285054E7, Y=3981815.40682182
ID=261, Sequence=762, X=-1.31744308191215E7, Y=4000990.31887888
ID=262, Sequence=763, X=-1.31559953544545E7, Y=3993096.06718695
ID=263, Sequence=764, X=-1.31723826125116E7, Y=4006364.99138527
ID=264, Sequence=765, X=-1.31556229532527E7, Y=3990103.85491242
ID=265, Sequence=766, X=-1.31732060686172E7, Y=3977276.33371377
ID=266, Sequence=767, X=-1.31448393701763E7, Y=4009252.73766469
ID=267, Sequence=768, X=-1.31536469796346E7, Y=3984371.2137087
ID=268, Sequence=769, X=-1.31685237655756E7, Y=3996170.57121517
ID=269, Sequence=770, X=-1.31474172853922E7, Y=4005305.90530404
ID=270, Sequence=771, X=-1.31388135334885E7, Y=4006847.95738894
ID=271, Sequence=772, X=-1.31401378050035E7, Y=3982867.11982454
ID=272, Sequence=773, X=-1.31538973873391E7, Y=3984510.77896587
ID=273, Sequence=774, X=-1.31784341320409E7, Y=4008883.63457745
ID=274, Sequence=775, X=-1.31627772297891E7, Y=4007674.09745954
ID=275, Sequence=776, X=-1.31849575737829E7, Y=4006023.17275342
ID=276, Sequence=777, X=-1.31606937092721E7, Y=4003718.75759907
ID=277, Sequence=778, X=-1.31748610067167E7, Y=4003422.32497037
ID=278, Sequence=779, X=-1.31494430195158E7, Y=4006693.87214811
ID=279, Sequence=780, X=-1.31744019259248E7, Y=3981577.68673457
ID=280, Sequence=781, X=-1.31633920128076E7, Y=4013257.96181511
ID=281, Sequence=782, X=-1.31721643083587E7, Y=3990842.13603041
ID=282, Sequence=783, X=-1.31787567727373E7, Y=4003502.58106837
ID=283, Sequence=784, X=-1.31514815950602E7, Y=3995653.13700164
ID=284, Sequence=785, X=-1.31759220291063E7, Y=3988898.91840344
ID=285, Sequence=786, X=-1.31644915594595E7, Y=3997768.29930316
ID=286, Sequence=787, X=-1.31469582046003E7, Y=3977617.28216305
ID=287, Sequence=788, X=-1.31464445477703E7, Y=3994483.82318611
ID=288, Sequence=789, X=-1.31818900794008E7, Y=4006831.12444478
ID=289, Sequence=790, X=-1.31453995771566E7, Y=4011822.54916501
ID=290, Sequence=791, X=-1.31733585604887E7, Y=4009580.40775404
ID=291, Sequence=792, X=-1.316766018003E7, Y=4009807.0626144
ID=292, Sequence=793, X=-1.31565684028556E7, Y=4012195.63517302
ID=293, Sequence=794, X=-1.31686553901384E7, Y=3991738.22338864
ID=294, Sequence=795, X=-1.31408810022295E7, Y=3983889.20992658
ID=295, Sequence=796, X=-1.31539985135276E7, Y=3977098.11475141
ID=296, Sequence=797, X=-1.31387814299366E7, Y=3981545.38819557
ID=297, Sequence=798, X=-1.31631143170838E7, Y=3995708.76003988
ID=298, Sequence=799, X=-1.31554062542775E7, Y=4009509.17431333
ID=299, Sequence=800, X=-1.31604866413625E7, Y=4007369.79115615
ID=300, Sequence=801, X=-1.31384796565489E7, Y=4008773.55354686
ID=301, Sequence=802, X=-1.31680983935132E7, Y=3978255.29664925
ID=302, Sequence=803, X=-1.31452663474163E7, Y=3977622.44812769
ID=303, Sequence=804, X=-1.31592763374567E7, Y=3995703.58579218
ID=304, Sequence=805, X=-1.31812191151664E7, Y=4012959.98200903
ID=305, Sequence=806, X=-1.31562120534297E7, Y=3984629.66924902
ID=306, Sequence=807, X=-1.31770633103756E7, Y=4009009.25777643
ID=307, Sequence=808, X=-1.31550723773379E7, Y=4008943.2082906
ID=308, Sequence=809, X=-1.31447125611463E7, Y=4001485.99648419
ID=309, Sequence=810, X=-1.31550386686085E7, Y=3992949.92947894
ID=310, Sequence=811, X=-1.31708914025268E7, Y=3983040.26132571
ID=311, Sequence=812, X=-1.31735993371278E7, Y=4011141.18100085
ID=312, Sequence=813, X=-1.31451283021432E7, Y=4003269.5810749
ID=313, Sequence=814, X=-1.31669972416838E7, Y=3987898.35003338
ID=314, Sequence=815, X=-1.31571896065844E7, Y=3993455.59987596
ID=315, Sequence=816, X=-1.3176804876783E7, Y=3998170.67788298
ID=316, Sequence=817, X=-1.31757101456639E7, Y=3998928.89651892
ID=317, Sequence=818, X=-1.31439789949859E7, Y=3996020.51284725
ID=318, Sequence=819, X=-1.31445809365837E7, Y=4006471.16443853
ID=319, Sequence=820, X=-1.31556390050287E7, Y=3993547.4248108
ID=320, Sequence=821, X=-1.31501958478074E7, Y=4006490.58644697
ID=321, Sequence=822, X=-1.31502600549111E7, Y=4009993.5706133
ID=322, Sequence=823, X=-1.31402196690608E7, Y=3996497.86062223
ID=323, Sequence=824, X=-1.31748401394079E7, Y=3999460.71513148
ID=324, Sequence=825, X=-1.31609746153511E7, Y=3979844.03166263
ID=325, Sequence=826, X=-1.31608510166763E7, Y=3976053.394852
ID=326, Sequence=827, X=-1.31718561142607E7, Y=3982460.11853689
ID=327, Sequence=828, X=-1.31437173510381E7, Y=3976546.68690879
ID=328, Sequence=829, X=-1.31781147016997E7, Y=4004179.60286988
ID=329, Sequence=830, X=-1.31465039393413E7, Y=3997426.74162632
ID=330, Sequence=831, X=-1.31564448041808E7, Y=3999997.73507848
ID=331, Sequence=832, X=-1.31695077394407E7, Y=3981053.16988452
ID=332, Sequence=833, X=-1.31820810955344E7, Y=4004404.85433624
ID=333, Sequence=834, X=-1.3138344821631E7, Y=4000335.48845344
ID=334, Sequence=835, X=-1.31386546209066E7, Y=3983445.99135787
ID=335, Sequence=836, X=-1.31480994858697E7, Y=3986716.91451237
ID=336, Sequence=837, X=-1.31384090287348E7, Y=3992481.78426383
ID=337, Sequence=838, X=-1.31668286980364E7, Y=3999575.88110753
ID=338, Sequence=839, X=-1.31410559665873E7, Y=3975181.79262237
ID=339, Sequence=840, X=-1.31463193439179E7, Y=3997562.5871893
ID=340, Sequence=841, X=-1.31389884978462E7, Y=3992952.51597059
ID=341, Sequence=842, X=-1.3157377412363E7, Y=3992383.50210152
ID=342, Sequence=843, X=-1.31623020972213E7, Y=3994840.81321215
ID=343, Sequence=844, X=-1.31548460472973E7, Y=3974150.1606072
ID=344, Sequence=845, X=-1.31536678469432E7, Y=4009810.94816615
ID=345, Sequence=846, X=-1.3161749916129E7, Y=3984450.04202162
ID=346, Sequence=847, X=-1.317397815904E7, Y=3981203.02935751
ID=347, Sequence=848, X=-1.31606680264306E7, Y=3981515.67362122
ID=348, Sequence=849, X=-1.31723151950526E7, Y=3976764.93031117
ID=349, Sequence=850, X=-1.31783538731612E7, Y=3995676.42103075
ID=350, Sequence=851, X=-1.31429869952329E7, Y=4006651.14300145
ID=351, Sequence=852, X=-1.3173405110639E7, Y=4005048.26985799
ID=352, Sequence=853, X=-1.31665879213972E7, Y=3977441.64076913
ID=353, Sequence=854, X=-1.31572281308467E7, Y=4009067.53705681
ID=354, Sequence=855, X=-1.31683199080212E7, Y=3977431.30900738
ID=355, Sequence=856, X=-1.31692107815858E7, Y=3979129.71910998
ID=356, Sequence=857, X=-1.31588108359544E7, Y=3976210.93605041
ID=357, Sequence=858, X=-1.31550868239363E7, Y=4003112.95601301
ID=358, Sequence=859, X=-1.31684130083216E7, Y=3977070.99472073
ID=359, Sequence=860, X=-1.31587466288506E7, Y=3981652.61970059
ID=360, Sequence=861, X=-1.31784951287894E7, Y=3980745.70580747
ID=361, Sequence=862, X=-1.31562168689625E7, Y=3998165.50250453
ID=362, Sequence=863, X=-1.31632700193105E7, Y=4001121.03069777
ID=363, Sequence=864, X=-1.31788001125324E7, Y=3987064.61081289
ID=364, Sequence=865, X=-1.31723906383995E7, Y=4005620.51337356
ID=365, Sequence=866, X=-1.31852288487962E7, Y=4007575.68260505
ID=366, Sequence=867, X=-1.3166600762818E7, Y=3993989.74694705
ID=367, Sequence=868, X=-1.31417590343735E7, Y=4002542.13436075
ID=368, Sequence=869, X=-1.31514767795275E7, Y=3992352.46580718
ID=369, Sequence=870, X=-1.3175796825254E7, Y=3985196.99990173
ID=370, Sequence=871, X=-1.31779894978473E7, Y=4007007.22418454
ID=371, Sequence=872, X=-1.31672701218747E7, Y=3982664.26338175
ID=372, Sequence=873, X=-1.31766909091738E7, Y=3996823.86584585
ID=373, Sequence=874, X=-1.31771660417417E7, Y=3976349.1092354
ID=374, Sequence=875, X=-1.31648591451285E7, Y=3977608.24173059
ID=375, Sequence=876, X=-1.31606054245044E7, Y=4008871.97888789
ID=376, Sequence=877, X=-1.31469485735349E7, Y=4002395.87406182
ID=377, Sequence=878, X=-1.31535153550718E7, Y=3977583.70345036
ID=378, Sequence=879, X=-1.31716185479769E7, Y=3988414.13582802
ID=379, Sequence=880, X=-1.3176464579133E7, Y=3982386.47225141
ID=380, Sequence=881, X=-1.31427815325009E7, Y=3993515.09200196
ID=381, Sequence=882, X=-1.31584416451077E7, Y=3977099.40618307
ID=382, Sequence=883, X=-1.31562152637849E7, Y=3976616.42102927
ID=383, Sequence=884, X=-1.31680213449887E7, Y=3979993.87510438
ID=384, Sequence=885, X=-1.31784164750874E7, Y=3980701.78305071
ID=385, Sequence=886, X=-1.31601254764039E7, Y=4003942.705331
ID=386, Sequence=887, X=-1.31738224568133E7, Y=3980767.66724987
ID=387, Sequence=888, X=-1.31787631934476E7, Y=3979920.2448891
